ADM0_PCODE,ADM0_EN,sum_10,sum_11,sum_12,sum_13,sum_21,sum_22,sum_23,sum_30,year,total,perc_10,perc_11,perc_12,perc_13,perc_21,perc_22,perc_23,perc_30,perc_total
PK,Pakistan,0.0,3166064.80157,12647712.66284,12041700.90155,4210323.72218,3055302.01491,8646373.20327,22449969.23778,1975,66217446.5441,0.0,0.04781315147000481,0.19100272394854095,0.1818508796398601,0.063583299295239,0.04614043842471646,0.13057545487670869,0.33903405234492995,1.0
PK,Pakistan,0.0,3085237.55433,14379005.1024,13081674.61972,6654746.66391,4000855.79644,9911792.76679,27314705.80579,1980,78428018.30938,0.0,0.03933846118818746,0.18334015588253452,0.1667984847980716,0.08485164877759116,0.05101309305888069,0.12638076264646037,0.3482773936482743,1.0000000000000002
PK,Pakistan,0.0,2906670.31138,15773523.43252,13829328.62897,10805428.59488,5329411.27368,11720939.25836,34158123.18843,1985,94523424.68822,0.0,0.030750793477569,0.16687422704528584,0.14630583555965343,0.11431482334163279,0.05638191052914928,0.12400036601531139,0.3613720440313983,1.0
PK,Pakistan,0.0,2745144.47226,16356271.43054,13594267.29686,17055826.386,6349768.89233,14776395.20955,41521745.28642,1990,112399418.97396,0.0,0.024423119775165193,0.14551918132538852,0.12094606378712185,0.15174301203417598,0.0564928978307359,0.13146327040154276,0.3694124548458698,1.0
PK,Pakistan,0.0,2654219.07484,16801478.97406,13062352.82886,20877119.6172,6877230.99594,17226600.33312,52265327.27261,1995,129764329.09663,0.0,0.020454150176074316,0.12947686849710946,0.10066212278670988,0.16088488849392263,0.052997854216306366,0.13275297189177526,0.402771143938102,0.9999999999999999
PK,Pakistan,0.0,2500370.1459,17157440.8439,12328197.28378,26670227.87494,6720517.58744,19969188.69392,65262124.7407,2000,150608067.17058,0.0,0.016601834104066012,0.1139211276409738,0.08185615495494658,0.17708366076256107,0.04462256048892974,0.1325904320337816,0.4333242300147412,1.0
PK,Pakistan,0.0,2399303.99755,17855510.61716,11543686.5514,33058115.27649,6435767.42948,23117023.80613,75873154.50201,2005,170282562.18022,0.0,0.014090133286875705,0.10485812750610639,0.06779136045170991,0.19413682090067835,0.03779463585160676,0.13575684738443095,0.4455720746185919,1.0
PK,Pakistan,0.0,2170839.96362,18583643.26638,10521170.46121,40813165.68747,5977675.77155,25238582.81034,86763567.39856,2010,190068645.35913,0.0,0.011421347058681098,0.09777332411280497,0.05535458224227625,0.21472855562449308,0.03145008878374089,0.1327866716924947,0.45648543048550905,1.0
PK,Pakistan,0.0,1942732.46377,18906289.60027,9392876.5505,49804732.12184,5518045.27724,26189559.37673,94662717.74927,2015,206416953.13962,0.0,0.009411690436375833,0.09159271713250133,0.04550438521465181,0.24128217844661326,0.026732519753392567,0.12687697874803644,0.45859953026842876,1.0
PK,Pakistan,0.0,1730702.20212,17767273.59063,7888466.01757,63681528.76928,4944453.23798,25052571.78348,101503108.8673,2020,222568104.46836,0.0,0.007776056709716169,0.07982848051417794,0.035442931216100704,0.28612153983785615,0.022215461868584575,0.11256137461080566,0.4560541552427588,1.0
PK,Pakistan,0.0,1663532.11869,16098654.25494,7134502.91959,76653991.49008,4399860.38392,26925214.70355,112159957.7112,2025,245035713.58196998,0.0,0.006788937393542476,0.06569921592084428,0.029116175823094243,0.3128278338269148,0.017955996371313225,0.10988281793683478,0.45772902272745625,1.0
PK,Pakistan,0.0,1559566.61878,15198589.05922,6660538.83989,86646341.7181,4147544.71793,29220129.7781,125393939.34382,2030,268826650.07584,0.0,0.005801383971194906,0.056536764695510104,0.024776333886580678,0.32231306566389817,0.015428324225890237,0.10869506341672809,0.4664490641401978,1.0
